 4.02115938e-04 -3.62248345e-02  4.02115938e-04 -1.11966987e-02  4.02115938e-04  1.40377462e-01 
 4.12115938e-04 -2.11540452e-02  4.12115938e-04 -6.94969094e-03  4.12115938e-04  1.43804098e-01 
 4.22115938e-04 -4.31019103e-03  4.22115938e-04 -2.19087981e-03  4.22115938e-04  1.47089270e-01 
 4.32115938e-04  1.33604125e-02  4.32115938e-04  2.81274413e-03  4.32115938e-04  1.50221095e-01 
 4.42115938e-04  3.08575262e-02  4.42115938e-04  7.77831835e-03  4.42115938e-04  1.53196323e-01 
 4.52115938e-04  4.71912346e-02  4.52115938e-04  1.24252769e-02  4.52115938e-04  1.56020559e-01 
 4.62115938e-04  6.14459546e-02  4.62115938e-04  1.64934910e-02  4.62115938e-04  1.58707896e-01 
 4.72115938e-04  7.28400167e-02  4.72115938e-04  1.97601965e-02  4.72115938e-04  1.61280018e-01 
 4.82115938e-04  8.07768344e-02  4.82115938e-04  2.20545746e-02  4.82115938e-04  1.63764785e-01 
 4.92115938e-04  8.48841625e-02  4.92115938e-04  2.32689909e-02  4.92115938e-04  1.66194437e-01 
 5.02115938e-04  8.50387131e-02  5.02115938e-04  2.33661100e-02  5.02115938e-04  1.68603487e-01 
 5.12115938e-04  8.13743896e-02  5.12115938e-04  2.23813851e-02  5.12115938e-04  1.71026480e-01 
 5.22115938e-04  7.42735393e-02  5.22115938e-04  2.04207413e-02  5.22115938e-04  1.73495738e-01 
 5.32115938e-04  6.43418239e-02  5.32115938e-04  1.76536118e-02  5.32115938e-04  1.76039260e-01 
 5.42115938e-04  5.23684498e-02  5.42115938e-04  1.43018115e-02  5.42115938e-04  1.78678899e-01 
 5.52115938e-04  3.92745051e-02  5.52115938e-04  1.06250148e-02  5.52115938e-04  1.81428941e-01 
 5.62115938e-04  2.60529236e-02  5.62115938e-04  6.90382984e-03  5.62115938e-04  1.84295192e-01 
 5.72115938e-04  1.37040983e-02  5.72115938e-04  3.42160195e-03  5.72115938e-04  1.87274593e-01 
 5.82115938e-04  3.17136620e-03  5.82115938e-04  4.46140183e-04  5.82115938e-04  1.90355431e-01 
 5.92115938e-04 -4.71949735e-03  5.92115938e-04 -1.78746055e-03  5.92115938e-04  1.93518093e-01 
 6.02115938e-04 -9.31298522e-03  6.02115938e-04 -3.09182592e-03  6.02115938e-04  1.96736330e-01 
 6.12115938e-04 -1.01655369e-02  6.12115938e-04 -3.33921724e-03  6.12115938e-04  1.99978941e-01 
 6.22115938e-04 -7.07368266e-03  6.22115938e-04 -2.46963817e-03  6.22115938e-04  2.03211779e-01 
 6.32115938e-04 -8.69842732e-05  6.32115938e-04 -4.94652053e-04  6.32115938e-04  2.06399934e-01 
 6.42115938e-04  1.04949890e-02  6.42115938e-04  2.50331607e-03  6.42115938e-04  2.09509975e-01 
 6.52115938e-04  2.41414790e-02  6.52115938e-04  6.37615378e-03  6.52115938e-04  2.12512089e-01 
 6.62115938e-04  4.01240510e-02  6.62115938e-04  1.09194107e-02  6.62115938e-04  2.15382004e-01 
 6.72115938e-04  5.75628177e-02  6.72115938e-04  1.58852700e-02  6.72115938e-04  2.18102549e-01 
 6.82115938e-04  7.54825914e-02  6.82115938e-04  2.09983622e-02  6.82115938e-04  2.20664775e-01 
 6.92115938e-04  9.28755107e-02  6.92115938e-04  2.59734480e-02  6.92115938e-04  2.23068537e-01 
 7.02115938e-04  1.08766196e-01  7.02115938e-04  3.05338577e-02  7.02115938e-04  2.25322515e-01 
 7.12115938e-04  1.22275228e-01  7.12115938e-04  3.44294954e-02  7.12115938e-04  2.27443665e-01 
 7.22115938e-04  1.32676742e-01  7.22115938e-04  3.74532170e-02  7.22115938e-04  2.29456127e-01 
 7.32115938e-04  1.39446246e-01  7.32115938e-04  3.94544741e-02  7.32115938e-04  2.31389656e-01 
 7.42115938e-04  1.42295351e-01  7.42115938e-04  4.03492799e-02  7.42115938e-04  2.33277695e-01 
 7.52115938e-04  1.41190978e-01  7.52115938e-04  4.01257997e-02  7.52115938e-04  2.35155188e-01 
 7.62115938e-04  1.36357670e-01  7.62115938e-04  3.88451655e-02  7.62115938e-04  2.37056307e-01 
